offset,window_size,train_score,valid_score,best_iteration,train_rmse,valid_rmse,overfitting_gap,ic_mean,ic_std,ic_decay,training_time
7,200,5.348909774406139,9.65050716733118,547,9.139218505955073e-05,0.000141894726983259,-61.979778615393485,0,0,37.903336761235906,1.9395301342010498
14,200,4.9538987991131185,0.0,547,9.668005657852452e-05,1.5259198701540624e-05,3.246878091857687,0,0,22.818791946308735,1.8379027843475342
21,200,5.001370658541684,12.331765718520705,547,9.662748381367612e-05,1.6121109115908776e-05,-63.838111138445385,0,0,2.8156556874507417,1.893221139907837
28,200,5.24018216903909,8.518038606389927,547,9.722393259504435e-05,1.126083620310998e-05,-47.26813195569458,0,0,33.19672131147542,1.9228432178497314
35,200,5.6013122673952145,4.402977335746002,547,9.553976927652957e-05,2.9540885251314475e-05,6.174319405917666,0,0,29.708737864077676,1.8589842319488525
42,200,5.072211191585606,-0.3659828014915176,547,9.546744552215857e-05,4.895888026672253e-05,-1342.1921477251178,0,0,11.609498680738778,1.812511920928955
49,200,5.733991749972775,0.23319281811360923,547,9.690619592632459e-05,3.642311028208775e-05,1712.6411895073222,0,0,34.80565371024736,1.9727859497070312
56,200,5.916833818303234,5.442433641321513,547,9.471230020897336e-05,7.823602941084834e-05,2.804863965371438,0,0,25.129087779690185,1.906722068786621
63,200,6.264614669253571,7.219110711570688,547,9.25814277441301e-05,1.2160901843017196e-05,-54.624229812781245,0,0,12.720156555773004,1.8620619773864746
70,200,5.8905376550588775,5.505780783231053,547,9.87241681660417e-05,1.4688900123767778e-05,-22.151941935190532,0,0,10.169491525423737,1.855832815170288
77,200,6.572848978980191,5.287545228024404,547,9.556684078578674e-05,3.232181759155427e-05,1.6792203591872639,0,0,15.229357798165136,1.867427110671997
84,200,6.609559728814619,0.15709204330308676,547,9.13920747121882e-05,7.068832883493272e-05,3951.4484414218723,0,0,12.1268656716418,1.8751838207244873
91,200,6.28734645861034,0.0,547,9.3159899347504e-05,5.264292570405086e-05,2.4597966399151088,0,0,5.420560747663569,1.8107550144195557
98,200,6.313481812657207,6.930067768298024,547,9.451756462799436e-05,3.844058226681054e-05,-68.0055477904298,0,0,8.747855917667232,1.8948259353637695
